OBSNO,DATE,HOUR,TERRID,n,TEMP,WIND,SEXP,PANT,INC,OFF,DATETIME,DLGT,DAYn
172,08.06.16,10,AS67,15,7.831666667,3.098,0,0,15,0,08.06.16 10:14,6.604722222,160
173,08.06.16,12,AS68,15,7.96,2.790666667,0,0,15,0,08.06.16 11:43,8.088055556,160
174,08.06.16,12,AS70,15,7.96,2.790666667,0,0,12,3,08.06.16 11:43,8.088055556,160
175,08.06.16,10,AS72,15,7.825,2.995333333,0,0,15,0,08.06.16 09:59,6.354722222,160
176,08.06.16,10,AS72,15,7.831666667,3.098,0,0,15,0,08.06.16 10:14,6.604722222,160
177,09.06.16,11,AS75,15,8.945466667,0.481333333,0,0,15,0,09.06.16 10:49,7.208055556,161
178,09.06.16,11,AS75,15,8.6014,0.810666667,0,0,15,0,09.06.16 11:04,7.458055556,161
179,09.06.16,11,AS75,15,9.387,2.206,0,0,9,6,09.06.16 11:19,7.708055556,161
180,08.06.16,12,AS76,15,7.96,2.790666667,0,0,15,0,08.06.16 11:43,8.088055556,160
182,08.06.16,10,AS80,15,7.831666667,3.098,0,0,15,0,08.06.16 10:14,6.604722222,160
183,08.06.16,11,AS83,15,7.94,2.842666667,0,0,15,0,08.06.16 10:57,7.321388889,160
184,08.06.16,11,AS83,15,8.055,2.61,0,0,15,0,08.06.16 11:12,7.571388889,160
185,08.06.16,12,AS83,15,7.96,2.790666667,0,0,15,0,08.06.16 11:43,8.088055556,160
186,27.06.16,12,ASX2,15,12.0802,1.52,0,0,15,0,27.06.16 11:41,8.110833333,179
187,08.06.16,14,AS50,15,8.271333333,2.381333333,0,0,15,0,08.06.16 13:48,10.17138889,160
188,08.06.16,14,AS50,15,8.078333333,2.585333333,0,0,15,0,08.06.16 14:03,10.42138889,160
189,15.06.16,12,AS52,15,10.82853333,1.419333333,12,0,15,0,15.06.16 12:22,8.841388889,167
190,15.06.16,13,AS52,15,10.46346667,2.281333333,6,0,15,0,15.06.16 12:37,9.091388889,167
191,07.06.16,14,AS53,15,10.05046667,2.714,30,7,15,0,07.06.16 13:37,9.966111111,159
192,07.06.16,14,AS53,15,10.4818,2.306666667,27,15,15,0,07.06.16 13:52,10.21611111,159
193,07.06.16,14,AS53,15,10.692,1.773333333,15,15,15,0,07.06.16 14:08,10.48277778,159
194,07.06.16,15,AS53,15,10.73446667,1.798666667,15,15,15,0,07.06.16 14:35,10.93277778,159
195,15.06.16,12,AS53,15,10.99006667,1.672,30,0,9,6,15.06.16 11:52,8.341388889,167
